SPEC_ID:	'No sample description was entered.'
SPEC_REM:	'DET# 1'
DATE_MEA:	'09/21/2017 09:40:11'
MEAS_TIM:	'120 120'
DATA:	'0 2047'
ROI:	'0'
PRESETS:	'Live Time'
ENER_FIT:	'0.000000 0.002526'
MCA_CAL:	'3'
SHAPE_CAL:	'3'

Channel	Counts
0	0
1	0
2	0
3	0
4	0
5	0
6	0
7	0
8	0
9	0
10	0
11	0
12	0
13	0
14	0
15	0
16	0
17	0
18	0
19	0
20	0
21	0
22	0
23	0
24	0
25	0
26	0
27	0
28	0
29	0
30	0
31	0
32	0
33	0
34	0
35	0
36	0
37	0
38	0
39	0
40	0
41	0
42	0
43	0
44	0
45	0
46	0
47	0
48	0
49	0
50	0
51	0
52	0
53	0
54	0
55	0
56	0
57	0
58	0
59	0
60	0
61	0
62	0
63	0
64	0
65	0
66	0
67	0
68	0
69	0
70	0
71	0
72	0
73	0
74	0
75	0
76	0
77	0
78	0
79	0
80	0
81	0
82	0
83	0
84	0
85	0
86	0
87	0
88	0
89	0
90	0
91	0
92	0
93	0
94	0
95	0
96	0
97	0
98	0
99	0
100	0
101	0
102	0
103	0
104	0
105	0
106	0
107	0
108	0
109	0
110	0
111	0
112	0
113	0
114	0
115	0
116	0
117	0
118	0
119	0
120	0
121	0
122	0
123	0
124	0
125	0
126	0
127	0
128	0
129	0
130	0
131	0
132	0
133	0
134	0
135	0
136	0
137	0
138	0
139	0
140	0
141	0
142	0
143	0
144	0
145	0
146	0
147	0
148	0
149	0
150	0
151	0
152	0
153	0
154	0
155	0
156	0
157	0
158	0
159	0
160	0
161	0
162	0
163	0
164	0
165	0
166	0
167	0
168	0
169	0
170	0
171	0
172	0
173	0
174	0
175	0
176	0
177	0
178	0
179	0
180	0
181	0
182	0
183	0
184	0
185	0
186	0
187	0
188	0
189	0
190	0
191	0
192	0
193	0
194	0
195	0
196	0
197	0
198	2
199	3
200	1
201	2
202	4
203	2
204	2
205	0
206	0
207	3
208	3
209	4
210	1
211	0
212	0
213	0
214	0
215	2
216	2
217	0
218	3
219	4
220	1
221	3
222	1
223	2
224	1
225	2
226	1
227	0
228	4
229	3
230	2
231	0
232	1
233	1
234	1
235	2
236	1
237	0
238	2
239	1
240	0
241	0
242	1
243	5
244	1
245	2
246	4
247	1
248	0
249	2
250	4
251	5
252	2
253	3
254	3
255	2
256	3
257	3
258	0
259	1
260	2
261	0
262	3
263	3
264	1
265	4
266	1
267	3
268	0
269	2
270	3
271	1
272	3
273	2
274	1
275	1
276	1
277	2
278	2
279	2
280	1
281	0
282	2
283	1
284	2
285	1
286	2
287	1
288	3
289	4
290	1
291	1
292	3
293	2
294	3
295	1
296	0
297	4
298	1
299	0
300	1
301	3
302	0
303	1
304	0
305	2
306	1
307	1
308	2
309	0
310	0
311	0
312	1
313	2
314	0
315	0
316	4
317	2
318	1
319	1
320	2
321	2
322	0
323	1
324	0
325	1
326	0
327	2
328	0
329	4
