SPEC_ID:	'No sample description was entered.'
SPEC_REM:	'DET# 1'
DATE_MEA:	'09/26/2017 09:59:26'
MEAS_TIM:	'600 600'
DATA:	'0 2047'
ROI:	'0'
PRESETS:	'Live Time'
ENER_FIT:	'0.000000 0.002526'
MCA_CAL:	'3'
SHAPE_CAL:	'3'

Channel	Counts
0	0
1	0
2	0
3	0
4	0
5	0
6	0
7	0
8	0
9	0
10	0
11	0
12	0
13	0
14	0
15	0
16	0
17	0
18	0
19	0
20	0
21	0
22	0
23	0
24	0
25	0
26	0
27	0
28	0
29	0
30	0
31	0
32	0
33	0
34	0
35	0
36	0
37	0
38	0
39	0
40	0
41	0
42	0
43	0
44	0
45	0
46	0
47	0
48	0
49	0
50	0
51	0
52	0
53	0
54	0
55	0
56	0
57	0
58	0
59	0
60	0
61	0
62	0
63	0
64	0
65	0
66	0
67	0
68	0
69	0
70	0
71	0
72	0
73	0
74	0
75	0
76	0
77	0
78	0
79	0
80	0
81	0
82	0
83	0
84	0
85	0
86	0
87	0
88	0
89	0
90	0
91	0
92	0
93	0
94	0
95	0
96	0
97	0
98	0
99	0
100	0
101	0
102	0
103	0
104	0
105	0
106	0
107	0
108	0
109	0
110	0
111	0
112	0
113	0
114	0
115	0
116	0
117	0
118	0
119	0
120	0
121	0
122	0
123	0
124	0
125	0
126	0
127	0
128	0
129	0
130	0
131	0
132	0
133	0
134	0
135	0
136	0
137	0
138	0
139	0
140	0
141	0
142	0
143	0
144	0
145	0
146	0
147	0
148	0
149	0
150	0
151	0
152	0
153	0
154	0
155	0
156	0
157	0
158	0
159	0
160	0
161	0
162	0
163	0
164	0
165	0
166	0
167	0
168	0
169	0
170	0
171	0
172	0
173	0
174	0
175	0
176	0
177	0
178	0
179	0
180	0
181	0
182	0
183	0
184	0
185	0
186	0
187	0
188	0
189	0
190	0
191	0
192	0
193	0
194	0
195	0
196	0
197	1
198	1
199	0
200	0
201	4
202	0
203	1
204	2
205	0
206	1
207	0
208	0
209	0
210	2
211	0
212	3
213	2
214	1
215	0
216	0
217	4
218	3
219	0
220	1
221	0
222	2
223	0
224	0
225	0
226	0
227	0
228	0
229	1
230	0
231	1
232	1
233	0
234	3
235	1
236	0
237	1
238	1
239	2
240	0
241	1
242	1
243	1
244	0
245	1
246	0
247	1
248	1
249	0
250	1
251	0
252	1
253	0
254	3
255	0
256	0
257	1
258	1
259	1
260	1
261	0
262	1
263	2
264	2
265	1
266	2
267	1
268	0
269	2
270	2
271	0
272	0
273	1
274	0
275	0
276	0
277	1
278	1
279	0
280	0
281	2
282	0
283	2
284	0
285	1
286	1
287	0
288	0
289	0
290	0
291	2
292	0
293	0
294	2
295	2
296	1
297	0
298	2
299	0
300	2
301	1
302	0
303	0
304	0
305	1
306	1
307	2
308	0
309	0
310	1
311	0
312	1
313	1
314	1
315	1
316	2
317	0
